,HourlyPrecipitation,HourlyRelativeHumidity,HourlyDryBulbTemperature,y,unique_id
2016-07-11 12:00:00,0.0,50.5,88.16666666666667,14.950000000000001,1.0
2016-07-11 15:00:00,0.0,51.5,87.08333333333333,14.9,1.0
2016-07-11 18:00:00,0.03,85.16666666666667,72.66666666666667,14.85,1.0
2016-07-11 21:00:00,0.0,87.33333333333333,72.0,14.699999999999998,1.0
2016-07-12 00:00:00,0.0,90.0,70.5,14.6,1.0
2016-07-12 03:00:00,0.0,89.0,70.0,14.25,1.0
2016-07-12 06:00:00,0.0,81.33333333333333,75.0,14.1,1.0
2016-07-12 09:00:00,0.0,63.666666666666664,84.0,14.1,1.0
2016-07-12 12:00:00,0.0,52.833333333333336,88.0,14.75,1.0
2016-07-12 15:00:00,0.0,48.333333333333336,89.33333333333333,15.65,1.0
2016-07-12 18:00:00,0.0,57.5,81.83333333333333,15.958333333333334,1.0
2016-07-12 21:00:00,0.0,75.66666666666667,75.33333333333333,16.133333333333336,1.0
2016-07-13 00:00:00,0.0,80.83333333333333,72.5,16.6,1.0
2016-07-13 03:00:00,0.0,79.0,73.0,19.40833333333333,1.0
2016-07-13 06:00:00,0.0,70.66666666666667,76.33333333333333,24.075,1.0
2016-07-13 09:00:00,0.0,51.0,85.66666666666667,25.308333333333334,1.0
2016-07-13 12:00:00,0.0,45.333333333333336,90.0,23.899999999999995,1.0
2016-07-13 15:00:00,0.0,40.666666666666664,92.33333333333333,21.825,1.0
2016-07-13 18:00:00,0.0,53.833333333333336,85.66666666666667,21.125,1.0
2016-07-13 21:00:00,0.0,67.66666666666667,79.66666666666667,20.541666666666668,1.0
2016-07-14 00:00:00,0.0,74.33333333333333,76.0,18.791666666666668,1.0
2016-07-14 03:00:00,0.0,82.33333333333333,72.33333333333333,17.5,1.0
2016-07-14 06:00:00,0.0,69.66666666666667,77.66666666666667,16.95,1.0
2016-07-14 09:00:00,0.0,55.333333333333336,87.0,16.6,1.0
2016-07-14 12:00:00,0.0,43.666666666666664,91.33333333333333,16.650000000000002,1.0
2016-07-14 15:00:00,0.0,40.333333333333336,93.33333333333333,16.6,1.0
2016-07-14 18:00:00,0.0,52.833333333333336,87.5,16.01666666666667,1.0
2016-07-14 21:00:00,0.0,65.66666666666667,80.33333333333333,15.600000000000001,1.0
2016-07-15 00:00:00,0.0,77.5,74.5,15.200000000000001,1.0
2016-07-15 03:00:00,0.0,78.33333333333333,75.0,14.5,1.0
2016-07-15 06:00:00,0.0,80.0,75.83333333333333,14.016666666666666,1.0
2016-07-15 09:00:00,0.0,69.33333333333333,81.0,14.258333333333333,1.0
2016-07-15 12:00:00,0.0,53.5,88.0,28.55,1.0
2016-07-15 15:00:00,0.0,47.333333333333336,89.66666666666667,25.391666666666666,1.0
2016-07-15 18:00:00,0.0,54.666666666666664,85.66666666666667,22.0,1.0
2016-07-15 21:00:00,0.0,67.0,80.33333333333333,19.724999999999998,1.0
2016-07-16 00:00:00,0.0,75.0,77.5,17.991666666666667,1.0
2016-07-16 03:00:00,0.0,86.66666666666667,74.33333333333333,16.95,1.0
2016-07-16 06:00:00,0.0,75.16666666666667,79.0,16.191666666666666,1.0
2016-07-16 09:00:00,0.0,62.333333333333336,85.33333333333333,15.550000000000002,1.0
2016-07-16 12:00:00,0.0,59.333333333333336,86.83333333333333,15.25,1.0
2016-07-16 15:00:00,0.0,54.666666666666664,87.33333333333333,14.85,1.0
2016-07-16 18:00:00,0.0,59.166666666666664,80.66666666666667,14.699999999999998,1.0
2016-07-16 21:00:00,0.0,69.66666666666667,77.33333333333333,14.35,1.0
2016-07-17 00:00:00,0.0,84.16666666666667,74.66666666666667,14.058333333333332,1.0
2016-07-17 03:00:00,0.0,94.0,72.0,13.766666666666666,1.0
2016-07-17 06:00:00,0.0,82.33333333333333,76.5,13.5,1.0
2016-07-17 09:00:00,0.0,60.666666666666664,85.66666666666667,13.300000000000002,1.0
2016-07-17 12:00:00,0.0,47.0,90.5,13.049999999999999,1.0
2016-07-17 15:00:00,0.0,51.666666666666664,89.66666666666667,13.0,1.0
2016-07-17 18:00:00,0.0,71.83333333333333,82.0,13.0,1.0
2016-07-17 21:00:00,0.0,75.33333333333333,79.33333333333333,13.0,1.0
2016-07-18 00:00:00,0.0,84.5,76.16666666666667,12.9,1.0
2016-07-18 03:00:00,0.0,89.0,74.66666666666667,12.549999999999999,1.0
2016-07-18 06:00:00,0.0,80.5,78.83333333333333,12.358333333333334,1.0
2016-07-18 09:00:00,0.0,58.0,87.0,12.233333333333334,1.0
2016-07-18 12:00:00,0.0,52.0,90.0,12.066666666666668,1.0
2016-07-18 15:00:00,0.0,54.666666666666664,88.33333333333333,12.066666666666668,1.0
2016-07-18 18:00:00,0.0,64.0,84.83333333333333,12.4,1.0
2016-07-18 21:00:00,0.0,75.0,80.66666666666667,12.358333333333334,1.0
2016-07-19 00:00:00,0.0,76.33333333333333,79.66666666666667,12.025,1.0
2016-07-19 03:00:00,0.0,82.33333333333333,77.66666666666667,11.941666666666668,1.0
2016-07-19 06:00:00,0.0,76.0,80.33333333333333,13.1,1.0
2016-07-19 09:00:00,0.0,52.333333333333336,91.33333333333333,13.35,1.0
2016-07-19 12:00:00,0.0,41.833333333333336,94.66666666666667,12.75,1.0
2016-07-19 15:00:00,0.0,53.333333333333336,90.0,12.4,1.0
2016-07-19 18:00:00,0.33,84.63333333333334,75.86666666666666,11.983333333333334,1.0
2016-07-19 21:00:00,0.0,87.33333333333333,75.66666666666667,11.733333333333334,1.0
